left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7
0.473613,0.62868,-0.3109,-0.881931,0.436327,0.092564,-0.105743
0.474035,0.628752,-0.310169,-0.882127,0.437313,0.090822,-0.106271
0.474718,0.628724,-0.308966,-0.882247,0.438676,0.087423,-0.107243
0.474921,0.62874,-0.308531,-0.88231,0.439126,0.0862,-0.107643
0.474895,0.628857,-0.307699,-0.882486,0.439741,0.084172,-0.108644
0.474709,0.628933,-0.307471,-0.882552,0.439765,0.083665,-0.10905
0.473946,0.629068,-0.306897,-0.882703,0.439743,0.082901,-0.110104
0.473666,0.629106,-0.306595,-0.882809,0.439922,0.082653,-0.110524
0.472734,0.629141,-0.305673,-0.883243,0.440854,0.082796,-0.111491
0.472106,0.629125,-0.305032,-0.883535,0.441581,0.083053,-0.112107
0.471379,0.62904,-0.304032,-0.883777,0.442551,0.08279,-0.11322
0.471275,0.629191,-0.303169,-0.884012,0.443576,0.081763,-0.114412
0.471449,0.629482,-0.301575,-0.88439,0.445506,0.079187,-0.116773
0.471464,0.629525,-0.300928,-0.88447,0.446168,0.078071,-0.11772
0.471231,0.629559,-0.299488,-0.884746,0.447487,0.075591,-0.119659
0.471071,0.629509,-0.298954,-0.884836,0.447866,0.074576,-0.120307
0.470542,0.629387,-0.297621,-0.885059,0.448728,0.07217,-0.121966
0.470289,0.629408,-0.297063,-0.88518,0.44914,0.071358,-0.12275
0.469481,0.629641,-0.295548,-0.885557,0.450437,0.069857,-0.125242
0.468874,0.629825,-0.294615,-0.885799,0.451231,0.069182,-0.12685
0.46821,0.630179,-0.29347,-0.886174,0.452166,0.068063,-0.128688
0.46778,0.63048,-0.292768,-0.886421,0.452519,0.066928,-0.129628
0.467104,0.631075,-0.291746,-0.886864,0.452812,0.064861,-0.130754
0.46688,0.631319,-0.291279,-0.887064,0.45309,0.064055,-0.131259
0.466488,0.631907,-0.289725,-0.887676,0.454808,0.062383,-0.133149
0.46633,0.632103,-0.28898,-0.887944,0.455797,0.061896,-0.134088
0.466195,0.632634,-0.286945,-0.888683,0.458729,0.060495,-0.136564
0.466227,0.632842,-0.286098,-0.888997,0.45998,0.05978,-0.13748
0.466415,0.633267,-0.283939,-0.889709,0.463116,0.057656,-0.139493
0.466661,0.633506,-0.282569,-0.890179,0.46521,0.0562,-0.140651
0.467183,0.63376,-0.280555,-0.890819,0.468353,0.053836,-0.142403
0.467787,0.63387,-0.278823,-0.891354,0.471083,0.051744,-0.143896
0.468985,0.633871,-0.275673,-0.892211,0.476102,0.047736,-0.146638
0.469412,0.633783,-0.274371,-0.892467,0.478061,0.045942,-0.147878
0.4705,0.63345,-0.2711,-0.892988,0.482692,0.040685,-0.151526
0.470931,0.633195,-0.269742,-0.893101,0.484453,0.038213,-0.153238
0.471878,0.632642,-0.266362,-0.893403,0.488727,0.032106,-0.157576
